Date,Adj Close,Close,High,Low,Open,Volume
2022-12-13,3.9148128032684326,4.35966682434082,4.432666778564453,4.321667194366455,4.383333206176758,7200
2022-12-14,3.791492223739624,4.222332954406738,4.355000019073486,4.183332920074463,4.355000019073486,3000
2022-12-15,3.5520365238189697,3.955667018890381,3.955667018890381,3.869999885559082,3.934999942779541,13200
2022-12-16,3.4309606552124023,3.8208329677581787,3.9024999141693115,3.815000057220459,3.884999990463257,14400
2022-12-19,3.3341307640075684,3.7130000591278076,3.7130000591278076,3.7130000591278076,3.7130000591278076,3600
2022-12-20,3.2753143310546875,3.6475000381469727,4.125,3.6475000381469727,4.125,12600
2022-12-21,3.383817672729492,3.7683329582214355,3.7683329582214355,3.7683329582214355,3.7683329582214355,1200
2022-12-22,3.0391504764556885,3.384500026702881,3.391666889190674,3.2966670989990234,3.391666889190674,7800
2022-12-23,2.9926066398620605,3.332667112350464,3.3333330154418945,3.332667112350464,3.3333330154418945,2400
2022-12-27,2.6777210235595703,2.9820001125335693,3.233333110809326,2.9820001125335693,3.233333110809326,16200
2022-12-28,2.6516802310943604,2.953000068664551,2.9733328819274902,2.953000068664551,2.961667060852051,16200
2022-12-29,2.815857172012329,3.1358330249786377,3.1358330249786377,3.075000047683716,3.075000047683716,4200
2022-12-30,2.8061294555664062,3.125,3.125,3.043333053588867,3.043333053588867,39000
2023-01-03,2.885448932647705,3.2133328914642334,3.2266669273376465,2.988332986831665,3.2266669273376465,16200
2023-01-04,2.842646837234497,3.1656670570373535,3.178333044052124,3.0856668949127197,3.1616671085357666,44400
2023-01-05,2.711843490600586,3.0199999809265137,3.0516669750213623,3.004333019256592,3.0416669845581055,26400
2023-01-06,2.874823570251465,3.2014999389648438,3.2014999389648438,3.1500000953674316,3.1575000286102295,3000
2023-01-09,3.111436367034912,3.4649999141693115,3.553333044052124,3.4649999141693115,3.553333044052124,16200
2023-01-10,3.185817241668701,3.54783296585083,3.54783296585083,3.440000057220459,3.4749999046325684,6000
2023-01-11,3.2311642169952393,3.5983328819274902,3.5983328819274902,3.4941670894622803,3.4941670894622803,6000
2023-01-12,3.365260601043701,3.747667074203491,3.747667074203491,3.581666946411133,3.581666946411133,9000
2023-01-13,3.4785525798797607,3.873832941055298,3.873832941055298,3.75,3.75,3600
2023-01-17,3.711573839187622,4.133333206176758,4.133333206176758,3.99666690826416,4.017499923706055,13200
2023-01-18,3.623124361038208,4.034832954406738,4.079999923706055,4.034832954406738,4.079999923706055,9600
2023-01-19,3.4321584701538086,3.822166919708252,3.8883330821990967,3.822166919708252,3.875,12000
2023-01-20,3.7525806427001953,4.178999900817871,4.178999900817871,3.8561670780181885,3.868333101272583,34800
2023-01-23,4.1366095542907715,4.6066670417785645,4.675000190734863,4.222499847412109,4.222499847412109,44400
2023-01-24,4.206799507141113,4.68483304977417,4.696667194366455,4.618332862854004,4.618332862854004,27600
2023-01-25,4.230895519256592,4.711667060852051,4.711667060852051,4.505000114440918,4.505000114440918,35400
2023-01-26,4.3670854568481445,4.863333225250244,4.876667022705078,4.75,4.876667022705078,45000
2023-01-27,4.571970462799072,5.0914998054504395,5.193333148956299,4.821667194366455,4.821667194366455,67200
2023-01-30,4.194976806640625,4.671667098999023,4.953332901000977,4.616666793823242,4.906667232513428,56400
2023-01-31,4.271303653717041,4.756667137145996,4.759167194366455,4.599999904632568,4.663332939147949,45600
2023-02-01,4.740787506103516,5.2795000076293945,5.349999904632568,4.8333330154418945,4.8333330154418945,81600
2023-02-02,4.99341344833374,5.560832977294922,5.608333110809326,5.349999904632568,5.349999904632568,72600
2023-02-03,4.797358989715576,5.34250020980835,5.591667175292969,5.258333206176758,5.369999885559082,130200
2023-02-06,4.788978576660156,5.33316707611084,5.516666889190674,5.215000152587891,5.215000152587891,77400
2023-02-07,5.158339500427246,5.744500160217285,5.761666774749756,5.375,5.418333053588867,159000
2023-02-08,5.1653733253479,5.752333164215088,5.988500118255615,5.670000076293945,5.888332843780518,163200
2023-02-09,5.222094535827637,5.815499782562256,6.301667213439941,5.728332996368408,5.978332996368408,280200
2023-02-10,4.816066265106201,5.363333225250244,5.644166946411133,5.22333288192749,5.4633331298828125,281400
